# Posizione angolare. Can 1 e 2. S 250g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	0.105
0.1000	0.227
0.1500	0.384
0.2000	0.541
0.2500	0.716
0.3000	0.908
0.3500	1.117
0.4000	1.344
0.4500	1.588
0.5000	1.850
0.5500	2.129
0.6000	2.426
0.6500	2.740
0.7000	3.072
0.7500	3.421
0.8000	3.787
0.8500	4.171
0.9000	4.573
0.9500	4.992
1.0000	5.428
1.0500	5.882
1.1000	6.353
1.1500	6.842
1.2000	7.348
1.2500	7.871
1.3000	8.395
1.3500	8.954
1.4000	9.529
1.4500	10.123
1.5000	10.734
1.5500	11.345
1.6000	11.990
1.6500	12.654
1.7000	13.317
1.7500	14.015
1.8000	14.713
1.8500	15.446
1.9000	16.179
1.9500	16.947
2.0000	17.715
2.0500	18.500
2.1000	19.321
2.1500	20.141
2.2000	20.979
2.2500	21.834
2.3000	22.707
2.3500	23.597
2.4000	24.504
2.4500	25.429
2.5000	26.354
2.5500	27.314
2.6000	28.274
2.6500	29.269
2.7000	30.264
2.7500	31.276
2.8000	32.323
2.8500	33.371
2.9000	34.435
2.9500	35.500
3.0000	36.600
3.0500	37.717
3.1000	38.834
3.1500	39.985
3.2000	41.137
3.2500	42.307
3.3000	43.494
3.3500	44.698
3.4000	45.920
3.4500	47.141
3.5000	48.398
3.5500	49.672
3.6000	50.946
3.6500	52.238
3.7000	53.547
3.7500	54.873
3.8000	56.217
3.8500	57.561
3.9000	58.940
3.9500	60.319
4.0000	61.715
4.0500	63.129
4.1000	64.560
4.1500	66.008
4.2000	67.474
4.2500	68.941
4.3000	70.424
4.3500	71.925
4.4000	73.443
4.4500	74.979
4.5000	76.533
4.5500	78.086
4.6000	79.657
