# Posizione angolare. Can 1 e 2. D+A 250g
# Tempo ( s )	# Posizione angolare ( rad )
0.0000	0.000
0.0500	0.000
0.1000	-0.035
0.1500	-0.122
0.2000	-0.332
0.2500	-0.681
0.3000	-1.169
0.3500	-1.763
0.4000	-2.496
0.4500	-3.368
0.5000	-4.346
0.5500	-5.463
0.6000	-6.720
0.6500	-8.098
0.7000	-9.599
0.7500	-11.240
0.8000	-13.003
0.8500	-14.888
0.9000	-16.912
0.9500	-19.059
1.0000	-21.345
1.0500	-23.736
1.1000	-26.267
1.1500	-28.938
1.2000	-31.713
1.2500	-34.627
1.3000	-37.664
1.3500	-40.806
1.4000	-44.087
1.4500	-47.490
1.5000	-51.016
1.5500	-54.681
1.6000	-58.469
1.6500	-62.378
1.7000	-66.410
1.7500	-70.564
